Justin Tucker,15683,K
Randy Bullock,15091,K
LaMichael James,14890,RB
Zach Sudfeld,16418,TE
Panthers D/ST,-16029,D/ST
Browns D/ST,-16005,D/ST
Kendall Wright,14909,WR
Michael Floyd,14908,WR
Rams D/ST,-16014,D/ST
Kenny Stills,16016,WR
Brian Hartline,12568,WR
Le'Veon Bell,15825,RB
Zac Stacy,15996,RB
Julius Thomas,14204,TE
Andre Ellington,15893,RB
Rashad Jennings,12503,RB
Keenan Allen,15818,WR
Julian Edelman,12649,WR
Bishop Sankey,16794,RB
Joique Bell,13536,RB
Nick Foles,14877,QB
Dennis Pitta,13231,TE
Sammy Watkins,16725,WR
Robert Griffin,14875,QB
Cecil Shorts III,14184,WR
Jordan Reed,15860,TE
Riley Cooper,13225,WR
Terrance Williams,15878,WR
Jeremy Hill,16803,RB
Mike Evans,16737,WR
Steve Smith Sr.,2622,WR
Kelvin Benjamin,16730,WR
Brandin Cooks,16731,WR
Chiefs D/ST,-16012,D/ST
Rueben Randle,14911,WR
Khiry Robinson,16530,RB
Cardinals D/ST,-16022,D/ST
Carlos Hyde,16777,RB
Devonta Freeman,16944,RB
Markus Wheaton,15873,WR
Jonathan Grimes,15632,RB
Zach Ertz,15835,TE
Terrance West,16783,RB
Justin Hunter,15845,WR
Knile Davis,15832,RB
Steven Hauschka,11923,K
Charles Clay,14145,TE
John Brown,16804,WR
Dexter McCluster,13207,RB
Jarrett Boykin,15358,WR
Delanie Walker,9761,TE
Nick Novak,9329,K
Doug Baldwin,14221,WR
Adam Vinatieri,1097,K
Bills D/ST,-16002,D/ST
Josh McCown,3609,QB
C.J. Anderson,16040,RB
Odell Beckham Jr.,16733,WR
Justin Forsett,11467,RB
Jordan Matthews,16763,WR
Melvin Gordon,2576434,RB
Joseph Randle,16013,RB
T.J. Yeldon,2976516,RB
Todd Gurley,2977644,RB
Amari Cooper,2976499,WR
Latavius Murray,15920,RB
Travis Kelce,15847,TE
Davante Adams,16800,WR
Isaiah Crowell,17133,RB
Ameer Abdullah,2576336,RB
Jarvis Landry,16790,WR
Nelson Agholor,2971618,WR
Allen Robinson,16799,WR
Charles Johnson,15885,WR
Tevin Coleman,2979477,RB
Tre Mason,16784,RB
Ryan Tannehill,14876,QB
Alfred Blue,16921,RB
Martavis Bryant,16886,WR
Duke Johnson Jr.,2969962,RB
Brandon LaFell,12576,WR
Charles Sims,16749,RB
Cody Latimer,16793,WR
Andre Williams,16889,RB
Lorenzo Taliaferro,16950,RB
Devin Funchess,2977609,WR
DeVante Parker,2576623,WR
David Cobb,2576303,RB
Virgil Green,14085,TE
Eddie Royal,11276,WR
Dolphins D/ST,-16015,D/ST
Dwayne Allen,14901,TE
Breshad Perriman,2972460,WR
Teddy Bridgewater,16728,QB
Dorial Green-Beckham,2971433,WR
Larry Donnell,15707,TE
Brian Quick,14914,WR
Tyler Eifert,15788,TE
Donte Moncrief,16791,WR
Cody Parkey,17082,K
Harry Douglas,11318,WR
David Johnson,2508176,RB
Maxx Williams,2970726,TE
Vikings D/ST,-16016,D/ST
Eric Ebron,16732,TE
Caleb Sturgis,15918,K
Marcus Mariota,2576980,QB
Brandon McManus,16339,K
Dan Carpenter,11688,K
Matt Jones,2980105,RB
Ty Montgomery,2577134,RB
Jonas Gray,15364,RB
Ezekiel Elliott,3051392,RB
Thomas Rawls,2576237,RB
Jeremy Langford,2515416,RB
Allen Hurns,17177,WR
Derrick Henry,3043078,RB
Blake Bortles,16724,QB
Marvin Jones,15072,WR
Tyler Lockett,2577327,WR
Stefon Diggs,2976212,WR
Sterling Shepard,2976592,WR
Gary Barnidge,11364,TE
Kevin White,3042435,WR
Willie Snead,17258,WR
Jay Ajayi,2573300,RB
Travis Benjamin,15062,WR
Spencer Ware,16020,RB
Christine Michael,15855,RB
Michael Thomas,2976316,WR
Derek Carr,16757,QB
Tyrod Taylor,14163,QB
Theo Riddick,15994,RB
Kirk Cousins,14880,QB
Will Fuller V,3052876,WR
Tajae Sharpe,2982828,WR
Phillip Dorsett,2579604,WR
Tyler Boyd,3045144,WR
Jameis Winston,2969939,QB
Devontae Booker,3122866,RB
Corey Coleman,2978929,WR
DeAndre Washington,2577654,RB
Mohamed Sanu,14922,WR
Chris Hogan,14402,WR
Kamar Aiken,14583,WR
Connor Shaw,17247,QB
Jerick McKinnon,16782,RB
James White,16913,RB
Dion Lewis,14198,RB
Jordan Howard,3060022,RB
Todd Gurley II,2977644,RB
Leonard Fournette,3115364,RB
Kareem Hunt,3059915,RB
Terrelle Pryor Sr.,14851,WR
Christian McCaffrey,3117251,RB
Dalvin Cook,3116593,RB
Joe Mixon,3116385,RB
Jamison Crowder,2576716,WR
Tyreek Hill,3116406,WR
Mike Gillislee,15952,RB
Rob Kelley,2575408,RB
Rishard Matthews,15102,WR
Dak Prescott,2577417,QB
Paul Perkins,2971589,RB
Ted Ginn Jr.,10453,WR
Tyrell Williams,2587819,WR
Corey Davis,3042778,WR
Zay Jones,3059722,WR
Adam Thielen,16460,WR
Hunter Henry,3046439,TE
Cooper Kupp,2977187,WR
C.J. Prosise,2980148,RB
Jack Doyle,16504,TE
Samaje Perine,3116389,RB
Alvin Kamara,3054850,RB
Marvin Jones Jr.,15072,WR
O.J. Howard,3043080,TE
Austin Hooper,3043275,TE
D'Onta Foreman,3125116,RB
Cole Beasley,15349,WR
Robby Anderson,2574808,WR
James Conner,3045147,RB
Evan Engram,3051876,TE
Rex Burkhead,15971,RB
Chris Thompson,15966,RB
Josh Doctson,2576019,WR
Cameron Brate,17453,TE
Jaguars D/ST,-16030,D/ST
Carson Wentz,2573079,QB
Titans D/ST,-16010,D/ST
Wendell Smallwood,3042429,RB
Saquon Barkley,3929630,RB
Royce Freeman,3122672,RB
Alex Collins,3046409,RB
Kenyan Drake,2979843,RB
JuJu Smith-Schuster,3120348,WR
Mark Ingram II,13981,RB
Jamaal Williams,2980453,RB
Marquise Goodwin,15839,WR
Robert Woods,15880,WR
Chris Carson,3919596,RB
Peyton Barber,3051902,RB
Deshaun Watson,3122840,QB
Kerryon Johnson,3916925,RB
Sony Michel,3128721,RB
Rashaad Penny,3139925,RB
David Njoku,3123076,TE
Marlon Mack,3139605,RB
Jimmy Garoppolo,16760,QB
Tarik Cohen,3066158,RB
Trey Burton,16974,TE
Keelan Cole,3071572,WR
Matt Breida,3049916,RB
Kenny Golladay,2974858,WR
Paul Richardson,16781,WR
Patrick Mahomes,3139477,QB
Aaron Jones,3042519,RB
Chris Godwin,3116165,WR
Benjamin Watson,5557,TE
John Ross,3052177,WR
Michael Gallup,4036348,WR
Jared Goff,3046779,QB
Cameron Meredith,2520698,WR
Courtland Sutton,3128429,WR
Jordan Wilkins,3051891,RB
DJ Moore,3915416,WR
George Kittle,3040151,TE
Nick Chubb,3128720,RB
Calvin Ridley,3925357,WR
Case Keenum,15168,QB
Austin Seferian-Jenkins,16795,TE
Ronald Jones,3912550,RB
Josh Jacobs,4047365,RB
Damien Williams,17359,RB
David Montgomery,4035538,RB
Phillip Lindsay,3052117,RB
Allen Robinson II,16799,WR
Dede Westbrook,3892889,WR
Duke Johnson,2969962,RB
Baker Mayfield,3052587,QB
Derrius Guice,3843750,RB
Austin Ekeler,3068267,RB
Miles Sanders,4045163,RB
Christian Kirk,3895856,WR
Curtis Samuel,3121427,WR
Darwin Thompson,4361606,RB
Tony Pollard,3916148,RB
Dante Pettis,3127306,WR
Vance McDonald,15853,TE
James Washington,3122449,WR
Lamar Jackson,3916387,QB
Kyler Murray,3917315,QB
Alexander Mattison,4048244,RB
Marquez Valdes-Scantling,3051738,WR
Darrell Henderson Jr.,4039359,RB
Geronimo Allison,3115913,WR
Kalen Ballage,3128774,RB
Jaylen Samuels,3116721,RB
Keke Coutee,3915823,WR
Anthony Miller,3050487,WR
